0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.358		0.283689		0.35953
0.359		0.283645		0.359495
0.36		0.283597		0.359456
0.361		0.283548		0.359413
0.362		0.283496		0.359367
0.363		0.283442		0.359318
0.364		0.283385		0.359265
0.365		0.283326		0.359209
0.366		0.283265		0.35915
0.367		0.283202		0.359087
0.368		0.283136		0.359021
0.369		0.283068		0.358952
0.37		0.282999		0.358879
0.371		0.282927		0.358804
0.372		0.282852		0.358725
0.373		0.282776		0.358644
0.374		0.282698		0.35856
0.375		0.282618		0.358472
0.376		0.282536		0.358382
0.377		0.282452		0.358289
0.378		0.282366		0.358193
0.379		0.282279		0.358094
0.38		0.282189		0.357993
0.381		0.282098		0.357889
0.382		0.282005		0.357782
0.383		0.28191		0.357673
0.384		0.281813		0.357561
0.385		0.281715		0.357447
0.386		0.281615		0.35733
0.387		0.281514		0.35721
0.388		0.28141		0.357089
0.389		0.281306		0.356965
0.39		0.281199		0.356838
0.391		0.281092		0.356709
0.392		0.280982		0.356578
0.393		0.280871		0.356445
0.394		0.280759		0.35631
0.395		0.280645		0.356172
0.396		0.28053		0.356032
0.397		0.280414		0.35589
0.398		0.280296		0.355746
0.399		0.280176		0.3556
0.4		0.280056		0.355452
0.401		0.279934		0.355303
0.402		0.279811		0.355151
0.403		0.279686		0.354997
0.404		0.27956		0.354841
0.405		0.279433		0.354683
0.406		0.279305		0.354524
0.407		0.279176		0.354363
0.408		0.279046		0.3542
0.409		0.278914		0.354035
0.41		0.278781		0.353868
0.411		0.278647		0.3537
0.412		0.278512		0.35353
0.413		0.278376		0.353359
0.414		0.278239		0.353186
0.415		0.278101		0.353011
0.416		0.277962		0.352835
0.417		0.277822		0.352657
0.418		0.277681		0.352478
0.419		0.277539		0.352297
0.42		0.277396		0.352115
0.421		0.277252		0.351931
0.422		0.277107		0.351746
0.423		0.276961		0.35156
0.424		0.276815		0.351372
0.425		0.276667		0.351183
0.426		0.276519		0.350992
0.427		0.27637		0.350801
0.428		0.27622		0.350608
0.429		0.276069		0.350413
0.43		0.275917		0.350218
0.431		0.275765		0.350021
0.432		0.275612		0.349823
0.433		0.275458		0.349624
0.434		0.275303		0.349423
0.435		0.275148		0.349222
0.436		0.274992		0.349019
0.437		0.274835		0.348816
0.438		0.274678		0.348611
0.439		0.274519		0.348405
0.44		0.274361		0.348199
0.441		0.274201		0.347991
0.442		0.274041		0.347782
0.443		0.273881		0.347572
0.444		0.273719		0.347361
0.445		0.273557		0.34715
0.446		0.273395		0.346937
0.447		0.273232		0.346723
0.448		0.273068		0.346509
0.449		0.272904		0.346294
0.45		0.27274		0.346077
0.451		0.272574		0.34586
0.452		0.272409		0.345642
0.453		0.272242		0.345424
0.454		0.272076		0.345204
0.455		0.271908		0.344984
0.456		0.271741		0.344763
0.457		0.271573		0.344541
0.458		0.271404		0.344318
0.459		0.271235		0.344095
0.46		0.271065		0.343871
0.461		0.270895		0.343647
0.462		0.270725		0.343421
0.463		0.270554		0.343195
0.464		0.270383		0.342968
0.465		0.270212		0.342741
0.466		0.27004		0.342513
0.467		0.269867		0.342285
0.468		0.269695		0.342055
0.469		0.269522		0.341826
0.47		0.269348		0.341595
0.471		0.269175		0.341364
0.472		0.269		0.341133
0.473		0.268826		0.340901
0.474		0.268651		0.340668
0.475		0.268476		0.340435
0.476		0.268301		0.340202
0.477		0.268125		0.339967
0.478		0.267949		0.339733
0.479		0.267773		0.339498
