0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.445		0.372961		0.0177155
0.446		0.373017		0.0176629
0.447		0.373069		0.0176104
0.448		0.373118		0.0175581
0.449		0.373162		0.0175059
0.45		0.373203		0.0174539
0.451		0.37324		0.017402
0.452		0.373274		0.0173503
0.453		0.373304		0.0172987
0.454		0.37333		0.0172473
0.455		0.373353		0.0171961
0.456		0.373372		0.017145
0.457		0.373388		0.017094
0.458		0.3734		0.0170432
0.459		0.373409		0.0169926
0.46		0.373414		0.0169421
0.461		0.373415		0.0168918
0.462		0.373413		0.0168416
0.463		0.373408		0.0167916
0.464		0.373399		0.0167418
0.465		0.373387		0.0166921
0.466		0.373371		0.0166425
0.467		0.373353		0.0165932
0.468		0.37333		0.016544
0.469		0.373305		0.0164949
0.47		0.373276		0.016446
0.471		0.373244		0.0163973
0.472		0.373209		0.0163487
0.473		0.37317		0.0163003
0.474		0.373128		0.0162521
0.475		0.373083		0.016204
0.476		0.373035		0.0161561
0.477		0.372984		0.0161083
0.478		0.372929		0.0160607
0.479		0.372872		0.0160133
0.48		0.372811		0.015966
0.481		0.372747		0.0159189
0.482		0.37268		0.0158719
0.483		0.372611		0.0158251
0.484		0.372538		0.0157785
0.485		0.372462		0.0157321
0.486		0.372383		0.0156857
0.487		0.372301		0.0156396
0.488		0.372217		0.0155936
0.489		0.372129		0.0155478
0.49		0.372039		0.0155022
0.491		0.371945		0.0154567
0.492		0.371849		0.0154113
0.493		0.37175		0.0153662
0.494		0.371648		0.0153212
0.495		0.371543		0.0152763
0.496		0.371436		0.0152316
0.497		0.371326		0.0151871
0.498		0.371213		0.0151428
0.499		0.371097		0.0150986
0.5		0.370979		0.0150545
0.501		0.370858		0.0150106
0.502		0.370734		0.0149669
0.503		0.370607		0.0149234
0.504		0.370478		0.01488
0.505		0.370347		0.0148368
0.506		0.370213		0.0147937
0.507		0.370076		0.0147508
0.508		0.369937		0.014708
0.509		0.369795		0.0146654
0.51		0.36965		0.014623
0.511		0.369503		0.0145808
0.512		0.369354		0.0145386
0.513		0.369202		0.0144967
0.514		0.369048		0.0144549
0.515		0.368891		0.0144133
0.516		0.368732		0.0143718
0.517		0.368571		0.0143305
0.518		0.368407		0.0142893
0.519		0.368241		0.0142483
0.52		0.368072		0.0142075
0.521		0.367902		0.0141668
0.522		0.367728		0.0141263
0.523		0.367553		0.0140859
0.524		0.367375		0.0140457
0.525		0.367195		0.0140056
0.526		0.367013		0.0139657
0.527		0.366829		0.013926
0.528		0.366642		0.0138864
0.529		0.366454		0.013847
0.53		0.366263		0.0138077
0.531		0.36607		0.0137686
0.532		0.365875		0.0137296
0.533		0.365677		0.0136908
0.534		0.365478		0.0136521
0.535		0.365277		0.0136136
0.536		0.365073		0.0135753
0.537		0.364868		0.013537
0.538		0.36466		0.013499
0.539		0.364451		0.0134611
0.54		0.364239		0.0134233
0.541		0.364026		0.0133857
0.542		0.36381		0.0133483
0.543		0.363593		0.013311
0.544		0.363374		0.0132739
0.545		0.363152		0.0132369
0.546		0.362929		0.0132
0.547		0.362704		0.0131633
0.548		0.362478		0.0131268
0.549		0.362249		0.0130903
0.55		0.362018		0.0130541
0.551		0.361786		0.013018
0.552		0.361552		0.012982
0.553		0.361316		0.0129462
0.554		0.361078		0.0129105
0.555		0.360839		0.012875
0.556		0.360598		0.0128396
0.557		0.360355		0.0128044
0.558		0.36011		0.0127693
0.559		0.359864		0.0127344
0.56		0.359616		0.0126996
0.561		0.359367		0.0126649
0.562		0.359115		0.0126304
0.563		0.358863		0.012596
0.564		0.358608		0.0125618
0.565		0.358352		0.0125277
0.566		0.358094		0.0124937
0.567		0.357835		0.0124599
0.568		0.357574		0.0124263
0.569		0.357312		0.0123927
0.57		0.357048		0.0123593
0.571		0.356783		0.0123261
0.572		0.356516		0.012293
0.573		0.356248		0.01226
0.574		0.355978		0.0122272
0.575		0.355707		0.0121945
0.576		0.355434		0.0121619
0.577		0.35516		0.0121295
0.578		0.354885		0.0120972
0.579		0.354608		0.012065
0.58		0.354329		0.012033
0.581		0.35405		0.0120011
0.582		0.353769		0.0119694
0.583		0.353486		0.0119377
0.584		0.353203		0.0119062
0.585		0.352918		0.0118749
0.586		0.352631		0.0118437
0.587		0.352344		0.0118126
0.588		0.352055		0.0117816
0.589		0.351765		0.0117508
0.59		0.351473		0.0117201
0.591		0.351181		0.0116895
0.592		0.350887		0.0116591
0.593		0.350592		0.0116287
0.594		0.350295		0.0115986
0.595		0.349998		0.0115685
0.596		0.349699		0.0115386
0.597		0.349399		0.0115088
0.598		0.349099		0.0114791
0.599		0.348796		0.0114495
0.6		0.348493		0.0114201
0.601		0.348189		0.0113908
0.602		0.347883		0.0113616
0.603		0.347577		0.0113326
0.604		0.347269		0.0113036
0.605		0.346961		0.0112748
0.606		0.346651		0.0112461
0.607		0.34634		0.0112176
0.608		0.346028		0.0111891
0.609		0.345716		0.0111608
0.61		0.345402		0.0111326
0.611		0.345087		0.0111045
0.612		0.344771		0.0110766
0.613		0.344455		0.0110487
0.614		0.344137		0.011021
0.615		0.343818		0.0109934
0.616		0.343499		0.0109659
0.617		0.343178		0.0109385
0.618		0.342857		0.0109113
0.619		0.342534		0.0108841
0.62		0.342211		0.0108571
0.621		0.341887		0.0108302
0.622		0.341562		0.0108034
0.623		0.341236		0.0107767
0.624		0.340909		0.0107502
0.625		0.340582		0.0107237
0.626		0.340254		0.0106974
0.627		0.339924		0.0106712
0.628		0.339594		0.010645
0.629		0.339264		0.010619
0.63		0.338932		0.0105931
0.631		0.3386		0.0105674
0.632		0.338266		0.0105417
0.633		0.337933		0.0105161
0.634		0.337598		0.0104907
0.635		0.337263		0.0104653
0.636		0.336927		0.0104401
0.637		0.33659		0.0104149
0.638		0.336252		0.0103899
0.639		0.335914		0.010365
0.64		0.335575		0.0103402
0.641		0.335236		0.0103155
0.642		0.334895		0.0102909
0.643		0.334554		0.0102664
0.644		0.334213		0.010242
0.645		0.333871		0.0102177
0.646		0.333528		0.0101935
0.647		0.333184		0.0101694
0.648		0.33284		0.0101454
0.649		0.332496		0.0101215
0.65		0.33215		0.0100978
0.651		0.331805		0.0100741
0.652		0.331458		0.0100505
0.653		0.331111		0.010027
0.654		0.330764		0.0100036
0.655		0.330416		0.00998035
0.656		0.330067		0.00995717
0.657		0.329718		0.00993408
0.658		0.329368		0.00991109
0.659		0.329018		0.0098882
0.66		0.328667		0.00986541
0.661		0.328316		0.00984271
0.662		0.327964		0.0098201
0.663		0.327612		0.00979759
0.664		0.327259		0.00977518
0.665		0.326906		0.00975286
0.666		0.326553		0.00973063
0.667		0.326199		0.0097085
0.668		0.325844		0.00968646
0.669		0.325489		0.00966451
0.67		0.325134		0.00964266
0.671		0.324778		0.00962089
0.672		0.324422		0.00959922
0.673		0.324066		0.00957763
0.674		0.323709		0.00955614
0.675		0.323351		0.00953474
0.676		0.322994		0.00951342
0.677		0.322636		0.0094922
0.678		0.322277		0.00947106
0.679		0.321918		0.00945001
0.68		0.321559		0.00942905
0.681		0.3212		0.00940817
0.682		0.32084		0.00938738
0.683		0.32048		0.00936668
0.684		0.320119		0.00934606
0.685		0.319758		0.00932553
0.686		0.319397		0.00930508
0.687		0.319036		0.00928472
0.688		0.318674		0.00926444
0.689		0.318312		0.00924424
0.69		0.31795		0.00922413
0.691		0.317588		0.0092041
0.692		0.317225		0.00918415
0.693		0.316862		0.00916429
0.694		0.316498		0.0091445
0.695		0.316135		0.0091248
0.696		0.315771		0.00910518
0.697		0.315407		0.00908563
0.698		0.315043		0.00906617
0.699		0.314678		0.00904678
0.7		0.314314		0.00902748
0.701		0.313949		0.00900825
0.702		0.313584		0.0089891
0.703		0.313219		0.00897003
0.704		0.312853		0.00895103
0.705		0.312487		0.00893212
0.706		0.312122		0.00891328
0.707		0.311756		0.00889451
0.708		0.31139		0.00887582
0.709		0.311023		0.0088572
0.71		0.310657		0.00883866
0.711		0.31029		0.0088202
0.712		0.309924		0.00880181
0.713		0.309557		0.00878349
0.714		0.30919		0.00876524
0.715		0.308823		0.00874707
0.716		0.308455		0.00872897
0.717		0.308088		0.00871094
0.718		0.307721		0.00869299
